x,numerical,cos_sin,exp
0.00000,1.00000,1.00000,1.00000
0.01000,1.00000,0.99995,1.01005
0.02000,0.99990,0.99980,1.02020
0.03000,0.99970,0.99955,1.03045
0.04000,0.99940,0.99920,1.04081
0.05000,0.99900,0.99875,1.05127
0.06000,0.99850,0.99820,1.06184
0.07000,0.99790,0.99755,1.07251
0.08000,0.99720,0.99680,1.08329
0.09000,0.99640,0.99595,1.09417
0.10000,0.99550,0.99500,1.10517
0.11000,0.99450,0.99396,1.11628
0.12000,0.99341,0.99281,1.12750
0.13000,0.99221,0.99156,1.13883
0.14000,0.99091,0.99022,1.15027
0.15000,0.98952,0.98877,1.16183
0.16000,0.98802,0.98723,1.17351
0.17000,0.98643,0.98558,1.18530
0.18000,0.98474,0.98384,1.19722
0.19000,0.98295,0.98200,1.20925
0.20000,0.98106,0.98007,1.22140
0.21000,0.97907,0.97803,1.23368
0.22000,0.97699,0.97590,1.24608
0.23000,0.97481,0.97367,1.25860
0.24000,0.97253,0.97134,1.27125
0.25000,0.97015,0.96891,1.28403
0.26000,0.96768,0.96639,1.29693
0.27000,0.96510,0.96377,1.30996
0.28000,0.96244,0.96106,1.32313
0.29000,0.95967,0.95824,1.33643
0.30000,0.95681,0.95534,1.34986
0.31000,0.95386,0.95233,1.36343
0.32000,0.95081,0.94924,1.37713
0.33000,0.94766,0.94604,1.39097
0.34000,0.94442,0.94275,1.40495
0.35000,0.94109,0.93937,1.41907
0.36000,0.93766,0.93590,1.43333
0.37000,0.93413,0.93233,1.44773
0.38000,0.93052,0.92866,1.46228
0.39000,0.92681,0.92491,1.47698
0.40000,0.92301,0.92106,1.49182
0.41000,0.91911,0.91712,1.50682
0.42000,0.91513,0.91309,1.52196
0.43000,0.91105,0.90897,1.53726
0.44000,0.90688,0.90475,1.55271
0.45000,0.90262,0.90045,1.56831
0.46000,0.89827,0.89605,1.58407
0.47000,0.89383,0.89157,1.59999
0.48000,0.88930,0.88699,1.61607
0.49000,0.88469,0.88233,1.63232
0.50000,0.87998,0.87758,1.64872
0.51000,0.87518,0.87274,1.66529
0.52000,0.87030,0.86782,1.68203
0.53000,0.86533,0.86281,1.69893
0.54000,0.86028,0.85771,1.71601
0.55000,0.85514,0.85252,1.73325
0.56000,0.84991,0.84726,1.75067
0.57000,0.84460,0.84190,1.76827
0.58000,0.83920,0.83646,1.78604
0.59000,0.83372,0.83094,1.80399
0.60000,0.82816,0.82534,1.82212
0.61000,0.82251,0.81965,1.84043
0.62000,0.81678,0.81388,1.85893
0.63000,0.81097,0.80803,1.87761
0.64000,0.80508,0.80210,1.89648
0.65000,0.79911,0.79608,1.91554
0.66000,0.79306,0.78999,1.93479
0.67000,0.78692,0.78382,1.95424
0.68000,0.78071,0.77757,1.97388
0.69000,0.77443,0.77125,1.99372
0.70000,0.76806,0.76484,2.01375
0.71000,0.76162,0.75836,2.03399
0.72000,0.75510,0.75181,2.05443
0.73000,0.74851,0.74517,2.07508
0.74000,0.74184,0.73847,2.09594
0.75000,0.73509,0.73169,2.11700
0.76000,0.72828,0.72484,2.13828
0.77000,0.72139,0.71791,2.15977
0.78000,0.71443,0.71091,2.18147
0.79000,0.70739,0.70385,2.20340
0.80000,0.70029,0.69671,2.22554
0.81000,0.69312,0.68950,2.24791
0.82000,0.68587,0.68222,2.27050
0.83000,0.67856,0.67488,2.29332
0.84000,0.67118,0.66746,2.31637
0.85000,0.66374,0.65998,2.33965
0.86000,0.65622,0.65244,2.36316
0.87000,0.64865,0.64483,2.38691
0.88000,0.64100,0.63715,2.41090
0.89000,0.63329,0.62941,2.43513
0.90000,0.62552,0.62161,2.45960
0.91000,0.61769,0.61375,2.48432
0.92000,0.60980,0.60582,2.50929
0.93000,0.60184,0.59783,2.53451
0.94000,0.59382,0.58979,2.55998
0.95000,0.58575,0.58168,2.58571
0.96000,0.57761,0.57352,2.61170
0.97000,0.56942,0.56530,2.63794
0.98000,0.56117,0.55702,2.66446
0.99000,0.55287,0.54869,2.69123
1.00000,0.54451,0.54030,2.71828
